Ward,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
Golders Green,24,31,24,29,25,18,23,6,7,17,17,24,17,9,11,26,22,11,17,12,16,16,23,22,20,20,15,22,20,17,8,10,16,15,12,21,19,16,20,12,9,16,9,13,12,10,13,15,14,19,21,21,12,13,13,11,22,10,16,22,26,19,9,15,24,15,9,14,13,15,21,16,18,26,28,11,7,14,35,15,13,16,17,19,12,10,23,17,7,11,7,9,16,18,18,16,12,10,9,21,9,14,10,8,5,8,11,12,11,12,11,8,6,13,9,11,14,11,16,14,10,14,15,17
Hale,16,21,15,20,23,21,4,18,15,11,8,13,19,13,8,15,11,10,7,10,12,12,14,19,19,5,10,5,23,18,8,18,19,10,11,21,18,16,14,7,12,10,8,11,13,9,12,14,12,13,18,13,25,8,8,16,15,9,9,15,11,15,13,14,7,7,12,10,18,14,22,13,20,15,19,26,7,14,9,5,5,11,9,16,17,15,9,14,4,6,2,3,6,6,11,10,7,9,6,12,9,4,4,5,3,10,13,12,10,6,11,21,4,7,4,12,7,5,9,8,11,7,7,4
Hendon,25,21,31,17,23,22,22,15,14,22,22,14,21,17,24,9,16,7,13,16,5,12,15,20,24,20,16,13,15,12,21,17,16,21,24,27,17,19,12,26,7,14,9,11,14,6,16,18,13,23,12,15,14,14,17,16,14,6,9,26,23,15,14,17,10,14,24,9,16,30,24,23,24,13,9,16,23,29,29,22,17,15,16,11,21,17,13,13,9,10,14,13,16,16,15,16,17,12,21,23,19,10,10,9,13,12,14,11,30,17,11,29,17,18,12,11,2,7,22,15,12,13,9,12
High Barnet,23,26,20,20,11,15,23,18,14,16,25,21,13,14,15,7,13,16,9,14,17,11,18,9,11,13,10,14,10,12,12,8,7,9,25,15,24,19,8,12,9,13,7,8,8,9,9,10,15,10,15,6,6,10,6,7,12,6,13,21,16,23,17,13,10,16,10,9,10,3,13,9,7,8,14,12,22,22,19,13,12,11,21,12,15,12,9,12,3,7,10,6,15,18,10,12,4,10,2,14,6,5,10,5,9,7,6,6,8,8,3,7,13,8,7,6,8,8,8,9,2,5,5,6
Mill Hill,20,38,22,19,23,25,19,16,18,12,8,26,33,16,17,17,11,16,14,11,16,9,19,22,21,15,14,22,16,23,15,18,18,14,36,31,19,19,12,16,8,17,16,11,22,8,11,18,10,11,20,32,21,9,21,24,16,11,16,13,18,27,15,27,20,13,16,11,12,8,21,13,15,18,16,14,18,14,10,9,18,16,16,21,19,28,14,16,14,9,6,9,17,10,15,16,12,11,11,8,13,3,7,8,9,14,15,18,13,19,15,8,11,8,6,14,8,15,14,11,21,19,18,8
Oakleigh,27,19,24,18,6,14,11,12,10,19,20,32,35,20,14,13,10,17,12,5,13,19,18,25,14,21,11,18,6,18,14,6,8,15,23,23,19,20,18,22,13,12,10,8,16,12,9,14,16,11,12,7,6,14,11,12,10,16,11,29,20,11,11,11,11,11,7,11,8,6,15,13,8,10,9,19,8,18,12,25,12,15,9,24,14,12,13,8,2,10,12,12,7,8,18,18,12,3,4,8,11,6,7,1,8,1,6,6,11,7,3,7,5,9,9,8,5,5,2,9,12,3,2,5
Totteridge,10,15,7,13,11,12,10,9,5,10,4,12,18,17,20,13,13,9,7,7,13,15,16,19,13,13,15,10,4,10,14,10,4,9,15,16,10,12,12,11,8,7,12,8,15,6,10,19,9,7,7,23,7,6,20,8,12,13,10,22,14,15,15,10,12,12,6,9,12,9,17,20,12,22,12,16,11,8,12,17,9,11,16,17,22,5,8,13,5,5,9,10,11,9,13,9,3,4,7,6,5,2,4,3,3,7,8,2,4,8,15,4,13,5,8,7,8,7,10,17,16,10,12,13
Underhill,10,16,11,25,18,19,11,11,11,10,15,12,13,11,6,10,13,15,11,10,12,16,7,9,14,21,10,6,6,21,5,12,13,8,19,15,10,10,11,12,11,12,8,10,9,8,14,19,20,22,20,11,6,8,9,11,17,19,16,9,17,20,4,11,8,4,7,16,14,10,21,20,15,15,25,19,17,8,11,7,6,7,15,8,15,16,12,13,6,4,3,5,8,4,10,16,12,5,8,6,9,8,2,2,7,5,3,8,2,3,1,3,3,8,7,3,2,2,4,8,5,11,5,5
West Finchley,22,30,25,7,11,12,13,8,11,10,6,15,19,22,14,11,11,5,9,10,10,8,13,12,13,15,14,45,12,10,15,7,14,5,17,23,13,15,14,17,17,7,13,9,14,18,9,16,14,9,12,14,11,7,14,20,6,13,11,14,17,11,13,17,16,22,12,15,18,10,16,19,8,12,10,16,15,10,14,12,8,10,15,11,14,12,11,8,5,3,1,9,6,9,11,14,7,12,10,10,9,4,9,9,2,7,6,7,4,9,9,7,6,4,8,5,12,6,13,13,8,14,4,11
West Hendon,14,17,17,19,26,23,15,17,16,30,11,14,28,23,8,10,13,17,9,19,13,6,18,14,18,18,11,27,21,15,14,13,13,24,21,29,22,26,16,34,22,25,16,16,18,14,16,21,15,15,16,27,11,9,15,11,14,11,20,25,15,14,25,24,19,19,15,23,17,12,13,19,12,11,17,22,9,25,21,13,7,13,18,22,15,14,11,9,7,14,7,4,11,13,8,11,12,11,13,8,16,4,8,13,7,10,5,13,5,10,6,9,6,7,9,10,13,8,11,12,8,13,11,10
Woodhouse,20,21,24,20,21,17,12,18,13,15,20,19,14,13,9,20,18,16,8,17,11,13,21,23,12,17,13,12,15,7,21,18,14,12,18,21,13,21,15,7,8,14,13,16,21,7,8,15,19,16,19,15,15,16,5,11,14,11,18,31,16,9,14,17,20,18,15,17,9,11,19,16,12,13,13,13,15,13,12,9,15,13,13,12,18,10,10,17,3,3,11,11,3,20,11,24,9,4,12,11,4,6,9,6,8,11,15,14,10,13,12,10,4,6,9,7,4,5,13,18,9,8,8,9
